depth,density
0.0,322.79985507246374
0.1,308.4792263470684
0.2,320.64913071920444
0.30000000000000004,328.37766359120866
0.4,332.6586438984522
0.5,330.7087072314736
0.6000000000000001,324.8782401641934
0.7000000000000001,331.77233830021294
0.8,344.04533793911634
0.9,353.6523983514221
1.0,370.0788868723374
1.1,375.2877544560964
1.2000000000000002,363.92463673056807
1.3,356.64977218416846
1.4000000000000001,358.7375364135392
1.5,373.13546387775483
1.6,389.5705440093079
1.7000000000000002,391.2550875482507
1.8,397.88033568392376
1.9000000000000001,388.4535142447079
2.0,378.09616926830626
2.1,367.73882429190456
2.2,357.3814793155029
2.3000000000000003,354.5995765329209
2.4000000000000004,365.65943201822006
2.5,371.81175365059823
2.6,373.2804768374527
2.7,364.95357116748795
2.8000000000000003,360.38416123248794
2.9000000000000004,371.7100054223541
3.0,366.4412189902727
3.1,359.01258972168745
3.2,356.65073701551705
3.3000000000000003,363.5328521836978
3.4000000000000004,363.99954345221124
3.5,371.87190607541936
3.6,384.38063531654694
3.7,383.6887644316523
3.8000000000000003,365.41509377502547
3.9000000000000004,374.9004417937025
4.0,389.56797352748225
4.1000000000000005,397.4387796936514
4.2,414.9905858384385
4.3,390.79792729772083
4.4,384.7455354840228
4.5,415.26490256710315
4.6000000000000005,433.7294361568932
4.7,401.9238985345015
4.800000000000001,409.8734444278217
4.9,419.8295089465721
5.0,415.4668860539602
5.1000000000000005,416.7285673805784
5.2,421.90092108952524
5.300000000000001,427.45067698947594
5.4,424.8620677601761
5.5,428.4661362536576
5.6000000000000005,451.8015829609881
5.7,442.3953282098637
5.800000000000001,440.20854868404786
5.9,444.39339469527823
6.0,448.6441334637099
6.1000000000000005,451.75130914924915
6.2,452.7448034136498
6.300000000000001,454.2749257301109
6.4,452.46566226431486
6.5,456.56506245765854
6.6000000000000005,463.0074889760464
6.7,463.0107620011424
6.800000000000001,461.2713865988271
6.9,464.26232098838625
7.0,464.1242971616931
7.1000000000000005,459.4206780329365
7.2,460.09051367009073
7.300000000000001,466.5683546846745
7.4,474.43616464915794
7.5,477.64680039972006
7.6000000000000005,473.1272859642649
7.7,469.5499747279604
7.800000000000001,471.07534946851115
7.9,474.2385413493256
8.0,479.83404977258857
8.1,481.46609939325674
8.200000000000001,481.3379230012019
8.3,486.4561432594873
8.4,496.0953701706278
8.5,488.92900118255267
8.6,485.3923104269791
8.700000000000001,485.9368745215911
8.8,488.5131132485342
8.9,490.24880988525956
9.0,489.6394158380562
9.1,502.78290552947067
9.200000000000001,493.2819054180951
9.3,491.0484524016163
9.4,497.10069756422894
9.5,488.5083760370287
9.600000000000001,490.74940810655545
9.700000000000001,500.63879791313974
9.8,488.87464907518535
9.9,487.88385629935857
10.0,499.85408988405635
10.100000000000001,505.72351464799925
10.200000000000001,501.10894733661195
10.3,500.1707908679893
10.4,494.90091464949165
10.5,499.36339221930245
10.600000000000001,502.2297847746675
10.700000000000001,503.2130964826317
10.8,504.48327412573576
10.9,506.716997185345
11.0,504.6656524810334
11.100000000000001,508.20388153288695
11.200000000000001,514.7372894628368
11.3,511.4338782625216
11.4,510.4285720384822
11.5,512.6422477163769
11.600000000000001,515.8676770088911
11.700000000000001,520.8028164516417
11.8,517.6455000314455
11.9,511.47164858072193
12.0,517.4745082461424
12.100000000000001,518.2361905770563
12.200000000000001,518.9978729079701
12.3,519.7595552388839
12.4,520.5212375697978
12.5,521.2829199007116
12.600000000000001,522.0446022316255
12.700000000000001,522.8062845625393
12.8,523.5679668934532
12.9,524.329649224367
13.0,525.0913315552808
13.100000000000001,525.8530138861947
13.200000000000001,526.6146962171085
13.3,527.3763785480224
13.4,528.1380608789362
13.5,528.8997432098502
13.600000000000001,529.661425540764
13.700000000000001,530.4231078716778
13.8,531.1847902025917
13.9,531.9464725335055
14.0,532.7081548644194
14.100000000000001,533.4698371953332
14.200000000000001,534.2315195262471
14.3,534.9932018571609
14.4,535.7548841880747
14.5,536.5165665189886
14.600000000000001,537.2782488499024
14.700000000000001,538.0399311808163
14.8,539.3065923422587
14.9,539.3660407549079
15.0,538.3796260087098
15.100000000000001,537.947468828564
15.200000000000001,541.1245109328377
15.3,546.2688996339707
15.4,549.3487778855335
15.5,551.3372342802849
15.600000000000001,547.0749395768172
15.700000000000001,545.5261746454034
15.8,551.310662466822
15.9,547.4435275037957
16.0,543.8388999554355
16.1,540.7905628972792
16.2,568.8042044495057
16.3,546.3388913887577
16.400000000000002,553.4697421780854
16.5,554.4621686087239
16.6,550.1874243905568
16.7,555.6184260750999
16.8,552.0535912014748
16.900000000000002,547.9125697775976
17.0,550.2996910775612
17.1,550.9550333834387
17.2,550.6211811200624
17.3,553.4476744462278
17.400000000000002,555.2266284514612
17.5,557.0458525490986
17.6,552.1006565541084
17.7,553.0465042053107
17.8,560.9350903196511
17.900000000000002,555.6171542495488
18.0,557.0068037541743
18.1,559.8432837151902
18.2,558.2365099040377
18.3,560.4896143118731
18.400000000000002,558.2415663147578
18.5,558.8863063591577
18.6,559.6641190237905
18.7,565.4264523797398
18.8,564.6313894734398
18.900000000000002,570.4367499896422
19.0,568.1474231821607
19.1,561.1038927724937
19.200000000000003,564.4010769689895
19.3,548.739280201598
19.400000000000002,556.2015853768373
19.5,568.6353531133726
19.6,565.6306217372322
19.700000000000003,567.1050823657528
19.8,570.0473204652415
19.900000000000002,570.6401957036894
20.0,568.3764405586169
20.1,572.2213337307597
20.200000000000003,566.2563282307894
20.3,573.7581564112061
20.400000000000002,570.9168883502916
20.5,580.3163657665336
20.6,579.1144084160608
