time,compaction
2020.0833,-0.03897799924015999
2020.168,-0.07659229636192322
2020.2472,-0.10987059772014618
2020.3319,-0.14467096328735352
2020.414,-0.1785030961036682
2020.4987,-0.21463146805763245
2020.5806,-0.25212258100509644
2020.6653,-0.2931472659111023
2020.75,-0.33531445264816284
2020.8319,-0.37443727254867554
2020.9166,-0.4147077798843384
2020.9987,-0.4521085321903229
2021.0833,-0.4897419810295105
2021.1682,-0.5264899730682373
2021.245,-0.559403657913208
2021.3298,-0.5955548286437988
2021.4121,-0.6305768489837646
2021.497,-0.6677331328392029
2021.5792,-0.7059404850006104
2021.6641,-0.7486094236373901
2021.749,-0.7935547828674316
2021.8313,-0.8349819779396057
2021.9161,-0.8759368062019348
2021.9984,-0.9141818881034851
2022.0833,-0.9527868032455444
2022.1682,-0.990236759185791
2022.245,-1.0229032039642334
2022.3298,-1.058485746383667
2022.4121,-1.0936696529388428
2022.497,-1.1310473680496216
2022.5792,-1.1691373586654663
2022.6641,-1.2106595039367676
2022.749,-1.2536695003509521
2022.8313,-1.2975053787231445
2022.9161,-1.341872215270996
2022.9984,-1.3827664852142334
2023.0833,-1.4229475259780884
2023.1682,-1.461246132850647
2023.245,-1.4949123859405518
2023.3298,-1.5315150022506714
2023.4121,-1.5672086477279663
2023.497,-1.6054041385650635
2023.5792,-1.6459580659866333
2023.6641,-1.6917458772659302
2023.749,-1.7387816905975342
2023.8313,-1.7825413942337036
2023.9161,-1.8262730836868286
2023.9984,-1.8674588203430176
2024.0833,-1.9079480171203613
2024.168,-1.947177529335022
2024.2472,-1.982632040977478
2024.3319,-2.0203144550323486
2024.414,-2.0569908618927
2024.4987,-2.09590220451355
2024.5806,-2.136537551879883
2024.6653,-2.181837558746338
2024.75,-2.2279415130615234
2024.8319,-2.272181987762451
